书籍名,作者,出版日期,出版社,ISBN,PDF🔗
用Stata学微观计量经济学,A·科林·卡梅伦; 普拉温·K.特里维迪; 肖光恩; 杨洋; 王保双等译,2015,重庆：重庆大学出版社,978-7-5624-8536-0,
用Stata学计量经济学,克里斯托弗·F·鲍姆; 王忠玉,2012,北京：中国人民大学出版社,978-7-300-16293-5,
应用Stata做统计分析,劳伦斯·汉密尔顿,2008,重庆大学出版社,978-7-5624-4483-1,
应用Stata学习计量经济学原理（第 4 版）,"阿迪金斯, 李; 希尔, 卡特",2015,重庆：重庆大学出版社,978-7-5624-9441-6,
现代医学统计方法与Stata应用,陈峰,1999,中国统计,978-7-5037-2941-6,
随机模拟与金融数据处理Stata教程,李春涛; 张璇,2009,北京：中国金融出版社,978-7-5049-5299-8,
数据管理与模型分析,杨菊华,2012,,978-7-300-16163-1,
社会统计分析与数据处理技术Stata软件的应用,杨菊华,2008,北京：中国人民大学出版社,978-7-300-08997-3,
社会调查数据管理 基于Stata 14管理CGSS数据,唐丽娜,2016,北京：人民邮电出版社,,
缺失数据的多重插补,严洁,2017,重庆大学出版社,978-7-5624-9635-9,
截面、面板数据分析与Stata应用,兰草,2012,,978-7-307-09727-8,
计量经济学及Stata应用,陈强,2015,高等教育出版社,978-7-04-042751-6,
计量经济学基础与Stata应用,胡咏梅,2010,,978-7-303-10338-6,
会计实证研究及Stata的应用实现,,2014,北京：经济管理出版社,978-7-5096-3378-6,
高级计量经济学及Stata应用（第二版）,陈强,2014,高等教育出版社,978-7-04-032983-4,
Using Stata for Principles of Econometrics,"Adkins, Lee C.; Hill, R. Carter",2011,Wiley,978-1-118-03208-4,
Thirty Years with Stata: A Retrospective,,2015,Stata Press,978-1-59718-172-3,
The Workflow of Data Analysis Using Stata,"Long, J. Scott",2008,Stata Press,978-1-59718-047-4,
The Mata book: a book for serious programmers and those who want to be,"Gould, William W.",2018,Stata Press,978-1-59718-263-8,
Statistics with Stata: updated for version 12,"Hamilton, Lawrence C.",2013,"Brooks/Cole, Cengage Learning",978-0-8400-6463-9,
Statistical Analysis with Missing Data,"Little, Roderick J. A.; Rubin, Donald B.",2002,Wiley-Interscience,978-0-471-18386-0,
Stata在统计与计量分析中的应用,王群勇,2007,南开大学出版社,978-7-310-02789-7,
Stata统计分析与应用(第2版),周广肃,2015,机械工业出版社,978-7-111-48157-7,
Stata统计分析与行业应用案例详解（第2版）,张甜; 李爽,2017,北京：清华大学出版社,978-7-302-48163-8,
Stata数据统计分析教程,廉启国,2015,北京：机械工业出版社,978-7-111-50028-5,
Stata实用教程,王天夫; 李博柏,2008,北京：中国人民大学出版社,978-7-300-09639-1,
Stata环境下的数据管理实务手册,迈克尔·N·米歇尔; 唐丽娜,2016,北京：中国人民大学出版社,,
"Seventy-six Stata Tips, 2nd Edition",,2009,Stata Press,978-1-59718-071-9,
"Regression Models for Categorical Dependent Variables Using Stata, Third Edition","Long, J. Scott; Freese, Jeremy",2014,Stata Press,978-1-59718-111-2,
Multilevel and longitudinal modeling using Stata,"Rabe-Hesketh, S.; Skrondal, Anders",2012,Stata Press Publication,978-1-59718-108-2,
Missing data and small-area estimation: modern analytical equipment for the survey statistician,"Longford, Nicholas T.",2005,Springer,978-1-85233-760-5,
Microeconometrics Using Stata,"Cameron, A. Colin; Trivedi, Pravin K.",2009,Stata Press,978-1-59718-048-1,
Meta-Analysis: An Updated Collection from the Stata Journal,,2009,Stata Press,978-1-59718-049-8,
"Maximum Likelihood Estimation with Stata, Third Edition","Gould, William; Pitblado, Jeffrey; Sribney, William",2006,Stata Press,978-1-59718-012-2,
Maximum likelihood estimation with Stata,"Gould, William; Pitblado, Jeffrey S.; Poi, Brian",2010,Stata Press,978-1-59718-078-8,
Introduction to Time Series Using Stata,"Becketti, Sean",2013,Stata Press,978-1-59718-132-7,
Health econometrics using Stata,"Deb, Partha; Norton, Edward C.; Manning, Willard G.",2017,Stata Press,978-1-59718-228-7,
Discovering structural equation modeling using Stata,"Acock, Alan C.",2013,Stata Press,978-1-59718-139-6 978-1-59718-133-4,
Data Management Using Stata: A Practical Handbook,"Mitchell, Michael N.",2010,Stata Press,978-1-59718-076-4,
Data analysis using stata,"Kohler, Ulrich; Kreuter, Frauke",2012,Stata Press,978-1-59718-110-5,
Biostatistics in Public Health Using STATA,"Suárez, Erick L.; Pérez, Cynthia M.; Nogueras, Graciela M.; Moreno-Gorrín, Camille",2016,CRC Press,978-0-429-25785-8,
Applied missing data analysis,"Enders, Craig K.",2010,Guilford Press,978-1-60623-639-0,
Applied Econometrics for Health Economists: A Practical Guide,"Jones, Andrew",2007,CRC Press,978-0-429-09219-0,
"An Introduction to Survival Analysis Using Stata, Revised Third Edition","Cleves, Mario; Gould, William; Marchenko, Yulia",2016,Stata Press,978-1-59718-174-7,
An introduction to Stata programming,"Baum, Christopher F.",2016,StataCorp LP,978-1-59718-150-1,
An Introduction to Modern Econometrics Using Stata,"Baum, Christopher F.",2006,Stata Press,978-1-59718-013-9,
A visual guide to stata graphics,"Mitchell, Michael N.",2004,Stata Press,978-1-881228-85-1,
A handbook of statistical analyses using Stata,"Rabe-Hesketh, S.; Everitt, Brian",2004,Chapman & Hall/CRC,978-1-58488-404-0,
A gentle introduction to Stata,"Acock, Alan C.",2014,"A Stata Press Publication, StataCorp LP",978-1-59718-142-6,
